priority,rank,collection_name,contract_address,observed_supply,reason_code,evidence_urls,aliases
P0,1,RH MACHINES,0x8c71d170fbd94bcba93bb08fc2cfd0e8620cd9ce,9999,EXACT_CONTRACT_IDENTITY_CONFLICT,https://www.btcmachinegg.com/|https://collections.trashbag.fun/,RH MACHINES|RH BTC
P0,13,HOOD DOLLS,0xb433123b8657dacf3b246b3e25f8952a0cd2f121,3000,PUBLIC_RECORD_INCOMPLETE_AFTER_DEFINED_SEARCH,https://opensea.io/collection/hood-dolls,HOOD DOLLS
P0,17,Stackers,0x8c646c7d3f9af3afd6cdccd3dc00a01bf2d1298d,2733,EXACT_CONTRACT_IDENTITY_CONFLICT,https://stackers.cash/|https://collections.trashbag.fun/,Stackers|StackersV2
P0,18,SAFEMARS BOARDING PASS,0xf885faf151e3362ad1634b7f2f5c43338746fbba,10000,PUBLIC_RECORD_INCOMPLETE_AFTER_DEFINED_SEARCH,https://opensea.io/collection/safemars-boarding-pass,SAFEMARS BOARDING PASS|SafeMars Boarding Pass
P1,2,Hopium Machines,0x7da15c761409cb921a81f0e003704cff418b700b,6969,STAGE_PAYMENT_ONCHAIN_PENDING,,Hopium Machines
P1,3,Cash Cats,0xe3b34c4bb0f12c82143745eee6a6cf4e3154b1fa,9995,STAGE_BOUNDARY_ONCHAIN_PENDING,,Cash Cats
P1,10,The Doll Club,0x0d77e2b193ca6549c3bba68bf7b4516d14376534,3333,STAGE_PAYMENT_ONCHAIN_PENDING,,The Doll Club
P1,12,Clay StonKz,0xde0acefc89d4cf5f4ce45a4fb8a51aa355091b44,6889,PRICE_STAGE_MAPPING_PENDING,,Clay StonKz
P1,19,Boomer Stockholders,0xbc4388a8d664208ee6eb9d8776936a46935ac857,1000,SETTLEMENT_ASSET_PENDING,,Boomer Stockholders
P1,22,urufu gemu,0x60cb7082c8c14b4237c6a24c65e7c2e7abe2bd17,3824,NON_STANDARD_PAYMENT_PENDING,,urufu gemu
P2,11,Kupo,0xf5a68152b442581be9df0bf5f055ecd9f8c37fa8,4394,SUPPLY_RECONCILIATION_PENDING,,Kupo
P2,14,Cats Brokers,0xc27e149317d24516da10c7b88a049355884d8f5a,1427,SUPPLY_RECONCILIATION_PENDING,,Cats Brokers
P2,21,HoodTangs,0xc587cb5e28a90eb80dd5af3f5a3e3a046919d89d,694,SUPPLY_RECONCILIATION_PENDING,,HoodTangs
P2,25,Robinhood Chimps,0xb39c8fc111108cfd4d31ccd9f8683a15580a6d5a,9953,SETTLEMENT_ASSET_PENDING,,Robinhood Chimps
BASE,4,The Bandits,0x25991c1f3f364f4366b52e1d77f70500c0e05835,10000,BASELINE_DIRECT_SCHEDULE,,The Bandits
BASE,5,Retail Shrooms,0xb342f37e2b85238db86dab49d042ecf87e41bfee,888,BASELINE_DIRECT_SCHEDULE,,Retail Shrooms
BASE,6,Rekt Tradooor,0x7b3ecfa33657de415ff269dc97dfa82954cee706,10000,BASELINE_DIRECT_SCHEDULE,,Rekt Tradooor
BASE,7,NTRPY,0xcef76c507ea8a466ec39b322f4799c437cad1eaf,3333,BASELINE_DIRECT_SCHEDULE,,NTRPY
BASE,8,HoodMancers,0x8b796811803b7362104337adb51197882853ba33,2222,BASELINE_DIRECT_SCHEDULE,,HoodMancers
BASE,9,Galaktic Gang Embodied,0xf7135cdd82e8b01a1a492a3b61b0cc034b92eb35,3333,BASELINE_DIRECT_SCHEDULE,,Galaktic Gang Embodied
BASE,15,fuwa,0x93facfffc40edd42898aa74a1f2ba8ff28662799,5555,BASELINE_PROVISIONAL,,fuwa
BASE,16,Thinking Catss,0x65d8b5d6a86a24ce21ac09af95bed55fd8b76995,10000,BASELINE_PROVISIONAL,,Thinking Catss
BASE,20,pyopyopyopyo,0x08dc7cb3f4ccc8eea782e2924d151e2130f22b28,4444,BASELINE_PROVISIONAL,,pyopyopyopyo
BASE,23,Frens,0xc344e66683c1e25be7db9ac5c8aa26df83856f30,1000,NON_STANDARD_PROTOCOL_MODEL,,Frens
BASE,24,CHAINRAIDERS,0xe015961fb36d99bca8592ba048f9c46983c63e8a,5000,BASELINE_DIRECT_SCHEDULE,,CHAINRAIDERS
